"No.","Time","Source","Destination","Protocol","Length","Info","HID Data"
"19","0.084582","3.1.1","host","USB","35","URB_INTERRUPT in","0000263957510000"
"21","0.089219","3.1.1","host","USB","35","URB_INTERRUPT in","0000263957510000"
"23","0.094147","3.1.1","host","USB","35","URB_INTERRUPT in","000026397b510000"
"25","0.095163","3.1.1","host","USB","35","URB_INTERRUPT in","000000397b510000"
"27","0.098107","3.1.1","host","USB","35","URB_INTERRUPT in","00000039c3510000"
"29","0.101077","3.1.1","host","USB","35","URB_INTERRUPT in","00000039e8510000"
"31","0.103094","3.1.1","host","USB","35","URB_INTERRUPT in","0000ec38e8510000"
"33","0.104095","3.1.1","host","USB","35","URB_INTERRUPT in","0000ec380c520000"
"35","0.106087","3.1.1","host","USB","35","URB_INTERRUPT in","0000ec3854520000"
"37","0.108083","3.1.1","host","USB","35","URB_INTERRUPT in","0000d93854520000"
"39","0.109077","3.1.1","host","USB","35","URB_INTERRUPT in","0000d93879520000"
"41","0.112102","3.1.1","host","USB","35","URB_INTERRUPT in","0000d9389d520000"
"43","0.113100","3.1.1","host","USB","35","URB_INTERRUPT in","0000c5389d520000"
"45","0.114069","3.1.1","host","USB","35","URB_INTERRUPT in","0000c538e5520000"
"47","0.117103","3.1.1","host","USB","35","URB_INTERRUPT in","0000c5380a530000"
"49","0.118092","3.1.1","host","USB","35","URB_INTERRUPT in","0000b2380a530000"
"51","0.119071","3.1.1","host","USB","35","URB_INTERRUPT in","0000b23852530000"
"53","0.121072","3.1.1","host","USB","35","URB_INTERRUPT in","0000b23876530000"
"55","0.122098","3.1.1","host","USB","35","URB_INTERRUPT in","00008b3876530000"
"57","0.123070","3.1.1","host","USB","35","URB_INTERRUPT in","00008b38bf530000"
"59","0.126076","3.1.1","host","USB","35","URB_INTERRUPT in","00007738e3530000"
"61","0.128108","3.1.1","host","USB","35","URB_INTERRUPT in","0000643807540000"
"63","0.129088","3.1.1","host","USB","35","URB_INTERRUPT in","0000643850540000"
"65","0.130074","3.1.1","host","USB","35","URB_INTERRUPT in","0000643898540000"
"67","0.132080","3.1.1","host","USB","35","URB_INTERRUPT in","00006438bc540000"
"69","0.133087","3.1.1","host","USB","35","URB_INTERRUPT in","00003d38bc540000"
"71","0.135070","3.1.1","host","USB","35","URB_INTERRUPT in","00003d38e1540000"
"73","0.136093","3.1.1","host","USB","35","URB_INTERRUPT in","0000293829550000"
"75","0.138070","3.1.1","host","USB","35","URB_INTERRUPT in","0000293872550000"
